names,CD8.c01.Tn.MAL,CD8.c02.Tm.IL7R,CD8.c03.Tm.RPS12,CD8.c04.Tm.CD52,CD8.c05.Tem.CXCR5,CD8.c06.Tem.GZMK,CD8.c07.Temra.CX3CR1,CD8.c08.Tk.TYROBP,CD8.c09.Tk.KIR2DL4,CD8.c10.Trm.ZNF683,CD8.c11.Tex.PDCD1,CD8.c12.Tex.CXCL13,CD8.c13.Tex.myl12a,CD8.c14.Tex.TCF7,CD8.c15.ISG.IFIT1,CD8.c16.MAIT.SLC4A10,CD8.c17.Tm.NME1
BCL_10X.CD8,524,417,114,155,545,149,270,29,36,322,198,414,12,39,11,188,59
BC_10X.CD8,220,723,164,295,711,267,487,35,47,941,49,49,0,25,83,168,27
ESCA_10X.CD8,674,1636,526,924,1997,488,807,74,370,1738,375,1929,148,92,346,349,53
MM_10X.CD8,845,742,339,414,1269,560,1542,187,236,1462,155,453,42,17,104,212,50
PACA_10X.CD8,260,738,280,472,1273,262,350,24,55,879,115,676,22,30,69,402,50
RC_10X.CD8,599,1514,861,679,2400,520,4781,286,354,1643,746,1732,27,57,33,232,80
THCA_10X.CD8,2328,6408,1200,2369,4690,1213,1764,100,799,7141,692,2311,136,266,987,983,63
UCEC_10X.CD8,1245,2613,773,1029,3578,1035,1409,189,368,3136,534,2282,67,211,495,804,158
OV_10X.CD8,137,632,195,187,353,101,165,0,54,902,45,234,0,13,355,95,49
FTC_10X.CD8,47,61,29,22,135,27,127,14,12,184,16,19,0,7,32,31,4
CHOL_SS2.CD8,13,17,4,0,58,2,97,0,20,7,0,47,0,2,0,33,0
