names,CD8.c01.Tn.MAL,CD8.c02.Tm.IL7R,CD8.c03.Tm.RPS12,CD8.c04.Tm.CD52,CD8.c05.Tem.CXCR5,CD8.c06.Tem.GZMK,CD8.c07.Temra.CX3CR1,CD8.c08.Tk.TYROBP,CD8.c09.Tk.KIR2DL4,CD8.c10.Trm.ZNF683,CD8.c11.Tex.PDCD1,CD8.c12.Tex.CXCL13,CD8.c13.Tex.myl12a,CD8.c14.Tex.TCF7,CD8.c15.ISG.IFIT1,CD8.c16.MAIT.SLC4A10,CD8.c17.Tm.NME1
BCL_10X.CD8,24.54,17.72,5.14,8.140000343322754,23.61,6.14,12.36,1.5199999809265137,1.46,13.25,9.1899995803833,18.12,0.6100000143051147,1.97,0.6100000143051147,7.52,2.299999952316284
BC_10X.CD8,8.21,29.65,8.55,18.950000762939453,29.24,12.45,19.12,1.309999942779541,1.76,38.33,2.1500000953674316,2.76,0.0,1.07,3.680000066757202,7.36,0.8600000143051147
ESCA_10X.CD8,19.77,52.28,20.83,37.119998931884766,61.97,15.64,22.55,2.319999933242798,12.27,55.2,13.390000343322754,74.53,8.319999694824219,3.01,12.100000381469727,11.1,1.409999966621399
MM_10X.CD8,32.87,20.46,11.67,15.729999542236328,36.92,17.32,54.86,7.119999885559082,7.01,38.15,4.199999809265137,13.83,1.3899999856948853,0.5,3.059999942779541,6.78,1.409999966621399
PACA_10X.CD8,10.09,28.01,13.45,24.940000534057617,46.25,9.83,13.79,0.9800000190734863,1.85,31.25,4.260000228881836,27.16,0.8899999856948853,1.09,2.680000066757202,13.7,1.6200000047683716
RC_10X.CD8,16.82,48.09,30.63,24.389999389648438,71.37,15.28,127.61,8.020000457763672,11.73,49.11,23.639999389648438,55.67,0.9100000262260437,1.92,0.8600000143051147,8.24,1.9700000286102295
THCA_10X.CD8,52.0,146.14,31.97,72.80999755859375,112.19,27.0,38.05,2.559999942779541,17.94,157.65,17.8700008392334,60.3,3.5199999809265137,7.23,21.530000686645508,21.4,1.1200000047683716
UCEC_10X.CD8,28.84,67.59,24.23,34.91999816894531,86.42,24.27,38.33,4.809999942779541,9.41,75.67,13.90999984741211,66.33,1.9299999475479126,5.12,12.020000457763672,19.45,3.369999885559082
OV_10X.CD8,5.92,27.75,9.84,9.130000114440918,15.13,4.14,7.27,0.0,2.36,38.41,2.0399999618530273,11.03,0.0,0.56,15.449999809265137,3.92,1.7100000381469727
FTC_10X.CD8,3.85,5.31,2.64,2.259999990463257,11.83,2.44,11.84,1.1200000047683716,1.11,15.8,1.399999976158142,2.03,0.0,0.82,2.799999952316284,2.4,0.36000001430511475
CHOL_SS2.CD8,4.08,4.42,0.86,0.0,14.76,0.44,23.11,0.0,5.01,1.49,0.0,11.94,0.0,0.53,0.0,7.87,0.0
