names,CD8.c01.Tn.MAL,CD8.c02.Tm.IL7R,CD8.c03.Tm.RPS12,CD8.c04.Tm.CD52,CD8.c05.Tem.CXCR5,CD8.c06.Tem.GZMK,CD8.c07.Temra.CX3CR1,CD8.c08.Tk.TYROBP,CD8.c09.Tk.KIR2DL4,CD8.c10.Trm.ZNF683,CD8.c11.Tex.PDCD1,CD8.c12.Tex.CXCL13,CD8.c13.Tex.myl12a,CD8.c14.Tex.TCF7,CD8.c15.ISG.IFIT1,CD8.c16.MAIT.SLC4A10,CD8.c17.Tm.NME1
BCL_10X.CD8,435.12,346.56,94.69,128.57000732421875,452.86,123.86,224.25,24.059999465942383,29.93,267.67,164.42999267578125,343.98,9.960000038146973,32.36,9.119999885559082,156.32,49.06999969482422
BC_10X.CD8,181.2,595.04,134.67,241.63999938964844,585.14,219.49,400.95,28.829999923706055,38.71,774.49,40.29999923706055,40.2,0.0,20.57,68.26000213623047,138.19,22.260000228881836
ESCA_10X.CD8,506.87,1229.39,394.4,692.7100219726562,1501.07,366.7,607.13,55.619998931884766,277.95,1306.12,281.489990234375,1446.78,110.44000244140625,69.12,259.7799987792969,262.27,39.88999938964844
MM_10X.CD8,649.23,571.74,260.76,318.1600036621094,977.43,431.13,1185.76,143.7100067138672,181.75,1126.94,119.44999694824219,348.79,32.31999969482422,13.09,80.0999984741211,163.17,38.52000045776367
PACA_10X.CD8,206.92,587.45,222.37,374.42999267578125,1013.7,208.57,278.51,19.09000015258789,43.82,700.08,91.55999755859375,537.83,17.5,23.89,54.90999984741211,320.28,39.849998474121094
RC_10X.CD8,447.79,1130.62,642.28,506.4599914550781,1793.3,388.59,3575.49,213.8000030517578,264.25,1227.61,557.1099853515625,1293.28,20.149999618530273,42.54,24.68000030517578,173.07,59.86000061035156
THCA_10X.CD8,1664.65,4581.28,856.71,1688.739990234375,3351.66,867.39,1261.71,71.41999816894531,571.31,5106.7,494.17999267578125,1650.21,97.12000274658203,189.87,705.9000244140625,703.05,45.119998931884766
UCEC_10X.CD8,922.19,1933.83,571.1,759.6099853515625,2649.44,766.57,1042.34,139.88999938964844,272.38,2322.17,395.17999267578125,1687.17,49.540000915527344,156.24,366.5199890136719,595.34,117.0999984741211
OV_10X.CD8,114.32,527.3,162.51,155.8800048828125,294.57,84.31,137.66,0.0,45.05,752.74,37.540000915527344,195.12,0.0,10.85,296.2099914550781,79.3,40.95000076293945
FTC_10X.CD8,45.79,59.4,28.23,21.399999618530273,131.45,26.29,123.61,13.640000343322754,11.68,179.19,15.579999923706055,18.47,0.0,6.8,31.15999984741211,30.21,3.890000104904175
CHOL_SS2.CD8,11.73,15.38,3.63,0.0,52.49,1.81,87.87,0.0,18.1,6.35,0.0,42.54,0.0,1.81,0.0,29.89,0.0
